Register Value,Player Name,Salary in $,Season Start,Season End,Team,Full Team Name
11282,Tony Allen,5505618,2016,2017,MEM,Memphis Grizzlies
11283,Tony Parker,14445313,2016,2017,SAS,San Antonio Spurs
11284,Tony Snell,2368327,2016,2017,MIL,Milwaukee Bucks
11285,Tony Wroten,25000,2016,2017,MEM,Memphis Grizzlies
11286,Treveon Graham,543471,2016,2017,CHA,Charlotte Hornets
11287,Trevor Ariza,7806971,2016,2017,HOU,Houston Rockets
11288,Trevor Booker,9250000,2016,2017,NJN,Brooklyn Nets
11289,Trey Burke,3386598,2016,2017,WAS,Washington Wizards
11290,Trey Lyles,2340600,2016,2017,UTA,Utah Jazz
11291,Tristan Thompson,15330435,2016,2017,CLE,Cleveland Caveliers
11292,Troy Daniels,3332940,2016,2017,MEM,Memphis Grizzlies
11293,Troy Williams,543471,2016,2017,MEM,Memphis Grizzlies
11294,Troy Williams,181969,2016,2017,HOU,Houston Rockets
11295,Ty Lawson,1315448,2016,2017,SAC,Sacramento Kings
11296,Tyler Ennis,1733880,2016,2017,LAL,Los Angeles Lakers
11297,Tyler Johnson,5628000,2016,2017,MIA,Miami Heat
11298,Tyler Ulis,918369,2016,2017,PHO,Phoenix Suns
11299,Tyler Zeller,8000000,2016,2017,BOS,Boston Celtic
11300,Tyreke Evans,10661286,2016,2017,SAC,Sacramento Kings
11301,Tyson Chandler,12415000,2016,2017,PHO,Phoenix Suns
11302,Tyus Jones,1339680,2016,2017,MIN,Minnesota Timberwolves
